Filename,Protocole,echantillon,Impacts potentiels,Extrait pertinent,Évaluation d'invasivité,Justification d'invasivité,Péchés identifiés,Taux de confiance,annonce_invasivite,justification_annonce_invasivite
carpenter2016,Échantillonnage de fèces chez les bilbies captifs,Fèces,"['Stress pour les animaux', 'Perturbation du marquage territorial', 'Stress potentiellement causé par la manipulation des fèces']","['Faecal pellets were collected from three captive male bilbies housed individually at Kanyana Wildlife Rehabilitation Centre in Lesmurdie, Western Australia. Over a 20-day period in January and February 2015, 63 samples were collected within 24 h of deposition.', 'Three PCR replicates using the Qiagen Multiplex PCR Plus Kit were used for each scat sample.', 'Extractions were undertaken using the QIAGEN QIAamp Fast DNA Stool MiniKit with modifications that included a wash of the faecal pellets (Piggott and Taylor 2003a)', 'The wash of epithelial cells from each pellet was performed with 1.5 mL to 5 mL of SLP buffer (...) followed by a 10-min incubation at 70 C (...)']",Invasif,"Les bilbies sont captifs et donc manipulés par l'homme, ce qui remplit le critère d'invasivité 'Contact direct avec l'animal vivant'. De plus, la collecte de fèces est effectuée sur un territoire marqué par les animaux, ce qui remplit le critère d'invasivité 'Modification du comportement naturel'. Le protocole implique une manipulation directe des fèces, ce qui est considéré comme invasif selon les critères définis.","[1, 3]",95% - La méthodologie est explicitement détaillée et les termes utilisés sont clairs.,Non,Le titre ne contient pas de déclaration globale de non-invasivité. Le protocole détecté comme invasif n'est pas mentionné dans le titre. Le corps de l'article ne contient pas de phrase indiquant explicitement que ce protocole est non invasif.
CONICET_Digital_Nro.14085,Collecte de fèces avec chiens détecteurs,Fèces,"[""Stress pour l'animal"", 'Modification du comportement naturel', 'Déplacement ou perturbation des animaux', 'Altération du marquage territorial']","['We collected all scats that the dog indicated on', 'Detection dogs were used to locate scats']",Invasif,"La collecte de toutes les fèces et l'utilisation de chiens détecteurs pour localiser les fèces indique une perturbation du comportement naturel et une modification de l'habitat, ce qui remplit le critère d'invasivité.",[1],"90% - Les termes utilisés dans le protocole sont explicites et indiquent clairement une collecte invasive, mais il manque des informations sur la fréquence et l'intensité de l'échantillonnage.",Oui,Le titre de l'article 'Noninvasive Techniques Provide Novel Insights for the Elusive Bush Dog (Speothos venaticus)' indique explicitement que les techniques utilisées sont non invasives.
What can we learn from faeces Assessing genotyping success and genetic variability in three mouse-ea,Collecte d'ADN à partir de fèces,Fèces,[],"['We removed old droppings from the floor', 'Previous studies on bats showed that sequencing large fragments (>600 bp) of mitochondrial DNA from well-preserved faecal samples is achievable and can be performed routinely with high success rates (even >85%; e.g. Boston et al., 2011;Ruedi et al., 2012;Goodman et al., 2012;Boston et al., 2012).', 'The 245 Myotis spp. droppings successfully identified at the species level by mtDNA sequencing were analyzed with the novel multiplex protocol of seven highly polymorphic microsatellites to further confirm species assignment through nuclear DNA (nDNA) analyses, as well as to provide reliable individual identification.', 'After the first four PCR replicates at multiplex M1 (2940 amplifications), the first screening step of multi-tube protocol was failed by 95 (39%) non-invasive samples that were immediately discarded (Tab. S3).']",Non invasif,"La collecte est ponctuelle et opportuniste, il n'y a pas de capture ou manipulation des animaux. Les fèces sont simplement récupérées après leur abandon.",[],80% - La méthodologie est détaillée mais il manque des informations sur la fréquence et l'intensité de l'échantillonnage.,,
A novel primer set for mammal species identification from feces samples,Échantillonnage d'ADN à partir de fèces,Fèces/Urine,[],"['Feces contain DNA that can be amplified by PCR analysis generating species-specific sequences to unambiguously identify samples', 'Most likely the sample had been marked with urine by the fox, remaining in the sample and allowing us to detect both species']",Non invasif,"Le protocole mentionne l'utilisation d'échantillons de fèces et d'urine, qui peuvent être considérés comme non invasifs si collectés naturellement. Cependant, il n'y a pas suffisamment d'informations pour déterminer si la collecte était systématique ou exhaustive.",['2'],75% - Implicite fort,,
Conservation Biology - 2013 - EGGERT - Using Genetic Profiles of African Forest Elephants to Infer Population Structure,Collecte et analyse d'ADN à partir de fèces,Fèces,"['Perturbation du marquage territorial', 'Modification du comportement naturel']","['We collected dung samples...', 'We used the method of Eggert et al. (2003) to extract DNA from dung in a separate lab from the one in which DNA was amplified.', 'Sequences were obtained for both strands in an ABI 3100 automated sequencer (Applied Biosystems) and aligned with Sequencher 4.5 (Gene Codes, Ann Arbor, Michigan)']",Invasif,"Le protocole implique la collecte de fèces, qui est considérée comme invasive selon les règles spécifiques aux mammifères car elle peut affecter le comportement naturel ou le territoire. La collecte de fèces est décrite comme opportuniste, ce qui indique une méthode non invasive selon les critères spécifiques aux mammifères. Il n'y a pas de mention de capture ou de manipulation des animaux.",['2'],70% - Implicite fort,Non,Le titre ne contient pas de déclaration globale de non-invasivité. Le protocole détecté comme invasif n'est pas mentionné dans le titre. Il n'y a pas de phrase indiquant explicitement que la collecte et l'analyse d'ADN à partir de fèces sont non invasives dans le corps de l'article.
Optimisation_of_a_microsatellite_panel_for_the_ind,Échantillonnage de poils,Échantillons de poils,"['Modification du comportement naturel', 'Stress pour les animaux capturés', 'Perturbation du comportement naturel']","['A total of 157 hair samples were collected out of 273 baited hair traps.', 'Hair trapping sites (abundance study, n =5)']",Invasif,"L'utilisation d'appâts dans les pièges à cheveux modifie le comportement naturel des animaux, ce qui correspond au péché de l'échantillonnage d'ADN 'Appâtage des pièges à ADN'. De plus, l'utilisation du terme 'abundance study' suggère une collecte systématique et exhaustive des échantillons, ce qui pourrait affecter le comportement naturel des animaux.","['2', '3']",100%,Manque d'informations,"Le titre ne contient pas de déclaration globale de non-invasivité, ni une mention explicite du protocole détecté comme invasif. Le corps de l'article ne contient pas de phrase indiquant explicitement que le protocole en question est non invasif."
Optimisation_of_a_microsatellite_panel_for_the_ind,Échantillonnage de tissu auriculaire,Tissu auriculaire,"['Stress pour les animaux', 'Blessures potentielles']",['Ear tissue was collected from 37 dead possums captured in three areas across Canterbury'],Invasif,"Le protocole implique la capture des opossums, ce qui remplit le critère d'invasivité 'Contact direct avec l'animal vivant'. Il n'y a pas de mention de l'utilisation d'échantillons déjà abandonnés naturellement ou de l'absence de perturbation du comportement naturel.",[3],100% - La méthodologie est explicitement détaillée.,Non,Le titre de l'article mentionne 'non-invasive monitoring' mais ne spécifie pas explicitement que le protocole d'échantillonnage de tissu auriculaire est non invasif. Le corps de l'article ne contient aucune phrase indiquant explicitement que ce protocole est non invasif.
2015_HarmsEtAl_predator_identification_saliva_traces_JMamm,Collecte non invasive d'échantillons de tissu contenant des traces d'ADN,Fèces,"['Stress pour les animaux', 'Perturbation du territoire']","[""La collecte non invasive d'échantillons de tissu contenant des traces d'ADN, tels que les poils, les fèces ou les plumes, s'est avérée particulièrement utile dans le domaine de l'écologie moléculaire et de la biologie de la conservation au cours des dernières décennies"", 'Nous avons collecté 2 ou 3 fèces fraîches par individu']",Invasif,"Le protocole mentionne la collecte de fèces fraîches, ce qui indique une manipulation directe des animaux ou de leur environnement. Cela remplit le critère d'invasivité 'Contact direct avec l'animal vivant'. Il n'y a pas de mention de la collecte opportuniste ou ponctuelle, donc cela ne correspond pas à un échantillonnage non invasif.",['3'],100%,Non,Le titre ne contient pas de déclaration globale de non-invasivité. Le protocole détecté comme invasif n'est pas mentionné dans le titre. Le corps de l'article ne contient pas de phrase indiquant explicitement que ce protocole est non invasif.
Characterization of 9 microsatellites and primers in snow leopards and a species-specific PCR assay,Collecte d'échantillons sur les sentiers et les surplombs,Fèces,[],"['La collecte de fèces sur les sentiers, les selles et les surplombs est une méthode efficace pour échantillonner les populations de léopards des neiges']",Non invasif,"Le protocole mentionne explicitement que les échantillons de fèces ont été obtenus de manière non invasive. Il n'y a pas de capture ou manipulation des animaux, ni d'utilisation d'appâts ou leurres. La collecte est effectuée sur des sentiers, selles et surplombs, où les fèces sont naturellement abandonnées.",[],"85% - La méthodologie est explicitement décrite comme non invasive, mais il manque des informations sur la fréquence et l'exhaustivité de la collecte.",,
Characterization of 9 microsatellites and primers in snow leopards and a species-specific PCR assay,Échantillonnage d'oiseaux,"Sang, plumes, rémiges et fèces","['Stress pour les oiseaux', 'Blessures potentielles']","['Les oiseaux échantillonnés appartiennent à 32 espèces de perroquets', 'Le sang a été prélevé avec un coton-tige stérile après avoir coupé un ongle ; une à trois plumes thoraciques ont été prélevées par traction et les rémiges ont été coupées en morceaux de 2-5 mm de long ; des cotons-tiges stériles ont été utilisés pour prélever des échantillons buccaux et fécaux']",Invasif,"Le protocole implique la capture des oiseaux et la manipulation de leurs plumes, ce qui est contraire à la définition d'échantillonnage non invasif. La collecte de sang après avoir coupé un ongle est également invasive.",[],100% - Les termes utilisés dans le protocole sont explicites et indiquent clairement une méthode invasive.,Non,Le titre ne mentionne pas explicitement que le protocole est non invasif. Le corps de l'article ne contient pas de phrase indiquant explicitement que le protocole d'échantillonnage d'oiseaux est non invasif.
